Field,description,value,SIvalue,SIconvert,units
Thickness,sample thickness,0.10000000000000001,0.0001,0.001,
Theta,input angle,45.0,0.78539816339744828,0.017453292519943295,degree
Phi,output angle,45.0,0.78539816339744828,0.017453292519943295,degree
BeamFlux,incoming photon flux,10000000000000.0,10000000000000.0,1.0,
Crystals,Number of crystals in the setup,5.0,5.0,1.0,
BeamSize,vertical beam size,0.10000000000000001,9.9999999999999995e-08,9.9999999999999995e-07,micron
DetecReflec,crystal refl. in bragg,0.10000000000000001,0.10000000000000001,1.0,
DetecLine,spectral fraction of emission line captured,0.10000000000000001,0.10000000000000001,1.0,
DetecRadius,Radius of the Detector,50.0,0.050000000000000003,0.001,mm
DetecDis,sample Detector distance,1.0,1.0,1.0,m
DetecAbsorb,Fraction of absorption in space,0.40000000000000002,0.40000000000000002,1.0,
EnIn,Excitation energy,7117.0,7117.0,1.0,eV
EnOut,emission energy,6405.0,6405.0,1.0,eV
SamMol,Sample Molar concentration,100.0,100.0,1.0,mMol/l
SamDen,Sample Mass density,1.49,0.00149,0.001,g/cm3
Sam2Mol,secon sample Molar con,,,1.0,mMol/l
Sam2Den,second sample density,5.0,0.0050000000000000001,0.001,g/cm3
SolDen,Solvent mass density,1.0,0.001,0.001,g/cm3
SolCon,Solvent Concentration (rest water),100.0,1.0,0.01,\%
m_fac,the m factor is for playing with the self absorption,1.0,1.0,1.0,
