	name	Kalpha	Kedge	Kbeta	Ledge
3	Li	0.049	0.055	0.000	0.005
4	Be	0.104	0.112	0.000	0.008
5	B	0.175	0.188	0.000	0.013
6	C	0.266	0.284	0.000	0.018
7	N	0.377	0.402	0.000	0.024
8	O	0.503	0.532	0.000	0.029
9	F	0.651	0.685	0.000	0.034
10	Ne	0.822	0.870	0.000	0.049
11	Na	1.009	1.072	1.071	0.063
12	Mg	1.216	1.305	1.303	0.089
13	Al	1.442	1.560	1.559	0.118
14	Si	1.690	1.839	1.831	0.149
15	P	1.956	2.145	2.129	0.189
16	S	2.243	2.472	2.456	0.229
17	Cl	2.552	2.822	2.805	0.270
18	Ar	2.880	3.206	3.177	0.326
19	K	3.230	3.607	3.573	0.377
20	Ca	3.600	4.038	3.994	0.438
21	Sc	3.992	4.493	4.439	0.500
22	Ti	4.403	4.966	4.906	0.564
23	V	4.837	5.465	5.399	0.628
24	Cr	5.295	5.989	5.915	0.695
25	Mn	5.770	6.539	6.455	0.769
26	Fe	6.266	7.112	7.019	0.846
27	Co	6.783	7.709	7.608	0.926
28	Ni	7.325	8.333	8.221	1.008
29	Cu	7.883	8.979	8.859	1.096
30	Zn	8.465	9.659	9.523	1.194
31	Ga	9.069	10.367	10.209	1.298
32	Ge	9.689	11.103	10.923	1.414
33	As	10.340	11.867	11.663	1.526
34	Se	11.004	12.658	12.426	1.654
35	Br	11.692	13.474	13.217	1.782
36	Kr	12.405	14.326	14.033	1.921
37	Rb	13.135	15.200	14.878	2.065
38	Sr	13.888	16.105	15.747	2.216
39	Y	14.666	17.038	16.645	2.372
40	Zr	15.466	17.998	17.567	2.532
41	Nb	16.288	18.986	18.517	2.698
42	Mo	17.134	20.000	19.495	2.865
43	Tc	18.001	21.044	20.500	3.043
44	Ru	18.893	22.117	21.532	3.224
45	Rh	19.808	23.220	22.593	3.412
46	Pd	20.746	24.350	23.680	3.604
47	Ag	21.708	25.514	24.796	3.806
48	Cd	22.693	26.711	25.941	4.018
49	In	23.702	27.940	27.114	4.238
50	Sn	24.735	29.200	28.316	4.465
51	Sb	25.793	30.491	29.548	4.698
52	Te	26.875	31.814	30.808	4.939
53	I	27.981	33.169	32.097	5.188
54	Xe	29.112	34.564	33.416	5.453
55	Cs	30.270	35.985	34.768	5.714
56	Ba	31.452	37.441	36.148	5.989
57	La	32.658	38.925	37.563	6.266
58	Ce	33.894	40.443	39.008	6.549
59	Pr	35.156	41.991	40.480	6.835
60	Nd	36.443	43.569	41.994	7.126
61	Pm	37.756	45.184	43.534	7.428
62	Sm	39.097	46.834	45.111	7.737
63	Eu	40.467	48.519	46.719	8.052
64	Gd	41.863	50.239	48.358	8.376
65	Tb	43.288	51.996	50.028	8.708
66	Dy	44.743	53.789	51.742	9.046
67	Ho	46.223	55.618	53.489	9.394
68	Er	47.734	57.486	55.279	9.751
69	Tm	49.274	59.390	57.083	10.116
70	Yb	50.846	61.332	58.934	10.486
71	Lu	52.443	63.314	60.823	10.870
72	Hf	54.080	65.351	62.750	11.271
73	Ta	55.735	67.416	64.708	11.682
74	W	57.425	69.525	66.705	12.100
75	Re	59.150	71.676	68.745	12.527
76	Os	60.903	73.871	70.822	12.968
77	Ir	62.693	76.111	72.937	13.418
78	Pt	64.514	78.395	75.097	13.880
79	Au	66.372	80.725	77.300	14.353
80	Hg	68.263	83.102	79.541	14.839
81	Tl	70.184	85.530	81.826	15.347
82	Pb	72.144	88.005	84.154	15.861
83	Bi	74.138	90.526	86.527	16.388
